Cumulative  Test positive,Cumulative  tests performed,Date,Discharged,Expired,Admitted,Region,,,
2,80,2020-03-11,0,0,2,ICT,,,
0,95,2020-03-11,0,0,0,Punjab,,,
14,171,2020-03-11,1,0,13,Sindh,,,
0,28,2020-03-11,0,0,0,KP,,,
0,0,2020-03-11,0,0,0,KPTD,,,
1,18,2020-03-11,0,0,1,Balochistan,,,
0,4,2020-03-11,0,0,0,AJK,,,
2,26,2020-03-11,0,0,2,GB,,,
2,85,2020-03-12,0,0,2,ICT,,,
0,105,2020-03-12,0,0,0,Punjab,,,
14,198,2020-03-12,2,0,12,Sindh,,,
0,29,2020-03-12,0,0,0,KP,,,
0,0,2020-03-12,0,0,0,KPTD,,,
1,18,2020-03-12,0,0,1,Balochistan,,,
0,8,2020-03-12,0,0,0,AJK,,,
3,28,2020-03-12,0,0,3,GB,,,
2,92,2020-03-13,0,0,2,ICT,,,
0,110,2020-03-13,0,0,0,Punjab,,,
15,240,2020-03-13,2,0,13,Sindh,,,
0,30,2020-03-13,0,0,0,KP,,,
0,0,2020-03-13,0,0,0,KPTD,,,
1,18,2020-03-13,0,0,1,Balochistan,,,
0,9,2020-03-13,0,0,0,AJK,,,
3,32,2020-03-13,0,0,3,GB,,,
3,99,2020-03-14,0,0,3,ICT,,,
0,116,2020-03-14,0,0,0,Punjab,,,
16,282,2020-03-14,3,0,13,Sindh,,,
0,31,2020-03-14,0,0,0,KP,,,
0,0,2020-03-14,0,0,0,KPTD,,,
6,35,2020-03-14,0,0,6,Balochistan,,,
0,10,2020-03-14,0,0,0,AJK,,,
3,36,2020-03-14,0,0,3,GB,,,
4,115,2020-03-15,0,0,4,ICT,,,
0,126,2020-03-15,0,0,0,Punjab,,,
18,315,2020-03-15,3,0,15,Sindh,,,
0,32,2020-03-15,0,0,0,KP,,,
0,0,2020-03-15,0,0,0,KPTD,,,
6,42,2020-03-15,0,0,6,Balochistan,,,
0,11,2020-03-15,0,0,0,AJK,,,
3,45,2020-03-15,0,0,3,GB,,,
4,147,2020-03-16,0,0,4,ICT,,,
1,166,2020-03-16,0,0,1,Punjab,,,
34,364,2020-03-16,3,0,32,Sindh,,,
0,32,2020-03-16,0,0,0,KP,,,
0,0,2020-03-16,0,0,0,KPTD,,,
5,40,2020-03-16,0,0,10,Balochistan,,,
0,11,2020-03-16,0,0,0,AJK,,,
3,45,2020-03-16,0,0,3,GB,,,
6,28,2020-03-16,0,0,0,Mobile Lab,,,
4,581,2020-03-17,1,0,3,ICT,,,
1,166,2020-03-17,0,0,1,Punjab,,,
150,554,2020-03-17,3,0,147,Sindh,,,
15,51,2020-03-17,0,0,15,KP,,,
0,0,2020-03-17,0,0,0,KPTD,,,
14,163,2020-03-17,0,0,14,Balochistan,,,
0,11,2020-03-17,0,0,0,AJK,,,
3,45,2020-03-04,0,0,3,GB,,,
8,627,2020-03-18,1,0,3,ICT,,,
26,133,2020-03-18,0,0,26,Punjab,,,gujjar
172,606,2020-03-18,3,0,169,Sindh,,,
17,42,2020-03-18,0,0,17,KP,,,
0,0,2020-03-18,0,0,0,KPTD,,,
15,151,2020-03-18,0,0,15,Balochistan,,,
0,11,2020-03-18,0,0,0,AJK,,,
3,51,2020-03-18,0,0,5,GB,,,
5,184,2020-03-19,2,0,3,ICT,,,
33,254,2020-03-19,0,0,33,Punjab,,,
208,908,2020-03-19,3,0,205,Sindh,,,
19,67,2020-03-19,0,2,17,KP,,,
0,0,2020-03-19,0,0,0,KPTD,,,
23,637,2020-03-19,0,0,23,Balochistan,,,
1,23,2020-03-19,0,0,1,AJK,,,
13,90,2020-03-19,0,0,11,GB,,,
10,277,2020-03-20,2,0,8,ICT,,,
80,872,2020-03-20,0,0,80,Punjab,,,
245,1210,2020-03-20,3,0,242,Sindh,,,
23,67,2020-03-20,0,2,21,KP,,,
0,0,2020-03-20,0,0,0,KPTD,,,
81,805,2020-03-20,0,0,81,Balochistan,,,
1,36,2020-03-20,0,0,1,AJK,,,
21,143,2020-03-20,0,0,21,GB,,,
11,325,2020-03-21,2,0,9,ICT,,,
96,894,2020-03-21,0,0,96,Punjab,,,
253,1497,2020-03-21,3,1,249,Sindh,,,
23,130,2020-03-21,0,2,21,KP,,,
0,0,2020-03-21,0,0,0,KPTD,,,
81,805,2020-03-21,0,0,81,Balochistan,,,
1,40,2020-03-21,0,0,1,AJK,,,
30,310,2020-03-21,0,0,30,GB,,,
11,366,2020-03-22,2,0,9,ICT,,,
152,1361,2020-03-22,0,0,152,Punjab,,,
396,1497,2020-03-22,3,1,392,Sindh,,,
31,264,2020-03-22,0,2,29,KP,,,
0,0,2020-03-22,0,0,0,KPTD,,,
104,1380,2020-03-22,0,0,104,Balochistan,,,
1,42,2020-03-22,0,0,1,AJK,,,
55,315,2020-03-22,0,0,55,GB,,,
15,404,2020-03-23,2,0,13,ICT,,,
225,1436,2020-03-23,0,0,225,Punjab,,,
333,1512,2020-03-23,4,1,328,Sindh,,,
31,305,2020-03-23,0,3,28,KP,,,
108,1405,2020-03-23,0,1,107,Balochistan,,,
1,44,2020-03-23,0,0,1,AJK,,,
71,338,2020-03-23,0,0,71,GB,,,
15,427,2020-03-24,2,0,13,ICT,,,
249,1436,2020-03-24,0,0,249,Punjab,,,
394,1579,2020-03-24,4,1,389,Sindh,,,
